Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
False,False,False,1000,(1 1),False,False,0.001,95.21098116,0.895404263,0.887726093,0.885498717,0.966111038,0.950484406,0.958139224,274.7,0.823422058,0.904792826,0.861701136,98.8,0.916889348,0.935714286,0.92610725,154,0.645,0.65,0.609761905,3.3,0.995411773,0.998833809,0.997104694,171.7,0.999632353,0.999260626,0.999445466,270.6,0.824891686,0.683428571,0.746338942,49.9,0.99187585,0.979294218,0.985391118,48.2
False,False,False,1000,(1 1),True,False,0.001,95.126904,0.915775124,0.884962641,0.891527114,0.966977974,0.954846715,0.960768712,274.7,0.844546943,0.885559678,0.863337891,98.8,0.904910332,0.922727273,0.913577989,154,0.835,0.616666667,0.66,3.3,0.99710971,0.998252414,0.997670979,171.7,0.999630996,0.999260626,0.999444785,270.6,0.780065853,0.733510204,0.754397062,49.9,0.997959184,0.968877551,0.983019497,48.2
False,False,False,1000,(1 1),False,True,0.001,95.08967766,0.897060716,0.863930781,0.87464338,0.970170902,0.955214333,0.962541135,274.7,0.849402515,0.876448155,0.862211307,98.8,0.885220554,0.927922078,0.905956816,154,0.666666667,0.45,0.517142857,3.3,0.995411773,0.998255814,0.996811439,171.7,0.999632353,0.999260626,0.999445466,270.6,0.81615488,0.735510204,0.772102028,49.9,0.993826087,0.968835034,0.980935996,48.2
False,False,False,1000,(1 2),False,False,0.001,95.08973863,0.896041614,0.882819258,0.883192111,0.968824791,0.945388188,0.956878267,274.7,0.817244018,0.912883941,0.862053377,98.8,0.908573618,0.934415584,0.921246166,154,0.656666667,0.616666667,0.59968254,3.3,0.995395426,0.999418605,0.99739128,171.7,1,0.998891622,0.999444785,270.6,0.825628389,0.671428571,0.739281101,49.9,0.996,0.983460884,0.989559368,48.2
False,False,False,1000,(1 2),True,False,0.001,95.22973368,0.909730469,0.88247233,0.88932657,0.974127564,0.951210352,0.962434946,274.7,0.834243442,0.904751598,0.867059069,98.8,0.908585244,0.926623377,0.917254935,154,0.791666667,0.583333333,0.63952381,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.77927062,0.725428571,0.749527986,49.9,0.991694444,0.970918367,0.98093318,48.2
False,False,False,1000,(1 2),False,True,0.001,94.77234799,0.893997129,0.866132664,0.871197555,0.96893262,0.95048706,0.959562211,274.7,0.84912873,0.873438466,0.860319886,98.8,0.866539925,0.916233766,0.890404523,154,0.668333333,0.491666667,0.515,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.999260626,0.999629628,270.6,0.808994242,0.721387755,0.761532243,49.9,0.991789007,0.977168367,0.984296436,48.2
False,False,False,1000,(1 3),False,False,0.001,95.16440905,0.892275997,0.884457746,0.882822951,0.972340708,0.944662243,0.958259095,274.7,0.817220824,0.922057308,0.866291574,98.8,0.913173577,0.933116883,0.922931935,154,0.633333333,0.616666667,0.591904762,3.3,0.995395426,0.999418605,0.99739128,171.7,1,0.998891622,0.999444785,270.6,0.810744108,0.677387755,0.736800811,49.9,0.996,0.983460884,0.989559368,48.2
False,False,False,1000,(1 3),True,False,0.001,95.26708196,0.904283052,0.886951194,0.888403946,0.973092548,0.953397478,0.963039041,274.7,0.846609284,0.8997114,0.871518049,98.8,0.90546558,0.925974026,0.915392964,154,0.741666667,0.616666667,0.626190476,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.775396789,0.733469388,0.752300694,49.9,0.993777778,0.968877551,0.980911702,48.2
False,False,False,1000,(1 3),False,True,0.001,94.75359547,0.891950983,0.875779354,0.876323317,0.968717128,0.951941606,0.960156059,274.7,0.852200373,0.86835704,0.858906762,98.8,0.868817485,0.917532468,0.892363881,154,0.661666667,0.583333333,0.568571429,3.3,0.997684501,0.999418605,0.998545659,171.7,1,0.999260626,0.999629628,270.6,0.794732701,0.715387755,0.75127504,49.9,0.991789007,0.971003401,0.981138075,48.2
False,False,True,1000,(1 1),False,False,0.001,95.08030575,0.888440914,0.880744723,0.881397437,0.966164877,0.942833444,0.954161888,274.7,0.811752841,0.908843537,0.856552922,98.8,0.915668609,0.934415584,0.924804048,154,0.586666667,0.583333333,0.572142857,3.3,0.994814146,0.998833809,0.996809855,171.7,0.999632353,0.998890256,0.999259938,270.6,0.840951968,0.695346939,0.759906816,49.9,0.99187585,0.983460884,0.987541174,48.2
False,False,True,1000,(1 1),True,False,0.001,94.94970874,0.89925714,0.870992533,0.876616226,0.962231094,0.951577969,0.956775558,274.7,0.831065534,0.88157081,0.85497461,98.8,0.903922095,0.925974026,0.914594094,154,0.71,0.525,0.555,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.79654831,0.717469388,0.753808584,49.9,0.992034314,0.968835034,0.979898328,48.2
False,False,True,1000,(1 1),False,True,0.001,94.95906323,0.919960746,0.865715486,0.881153992,0.967302303,0.945016589,0.955936017,274.7,0.831243628,0.883611626,0.856148152,98.8,0.885913621,0.927272727,0.905841912,154,0.85,0.45,0.563333333,3.3,0.995408373,0.998252414,0.996809734,171.7,0.999632353,0.998890256,0.999259938,270.6,0.834185693,0.743428571,0.784515241,49.9,0.996,0.979251701,0.987387608,48.2
False,False,True,1000,(1 2),False,False,0.001,95.08966024,0.896262921,0.88147568,0.883312979,0.968213827,0.941743862,0.954621806,274.7,0.811214227,0.913883735,0.858535346,98.8,0.912084736,0.935064935,0.923113039,154,0.65,0.591666667,0.59047619,3.3,0.99597346,0.999418605,0.997681135,171.7,1,0.999260626,0.999629628,270.6,0.83870045,0.687306122,0.753918023,49.9,0.993916667,0.983460884,0.988528666,48.2
False,False,True,1000,(1 2),True,False,0.001,95.00563534,0.894062502,0.89279973,0.887494182,0.969753053,0.951937624,0.960651112,274.7,0.84609532,0.880478252,0.861942108,98.8,0.894651794,0.918831169,0.906307847,154,0.671666667,0.683333333,0.63452381,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.778299634,0.741469388,0.757759942,49.9,0.993777778,0.968835034,0.980889999,48.2
False,False,True,1000,(1 2),False,True,0.001,94.59501338,0.888820893,0.8620018,0.86528692,0.968830843,0.944659589,0.956452483,274.7,0.826466352,0.884549577,0.854169189,98.8,0.874363051,0.911688312,0.892373805,154,0.653333333,0.466666667,0.485238095,3.3,0.997687784,0.998837209,0.99825408,171.7,1,0.998890256,0.9994441,270.6,0.800180108,0.711428571,0.752002289,49.9,0.989705674,0.979294218,0.984361322,48.2
False,False,True,1000,(1 3),False,False,0.001,95.20171377,0.894161324,0.886940871,0.886195864,0.968938555,0.943205043,0.955735835,274.7,0.81990182,0.910863739,0.862305007,98.8,0.914323008,0.935714286,0.924615181,154,0.626666667,0.616666667,0.597619048,3.3,0.994817391,0.999418605,0.997101425,171.7,1,0.998891622,0.999444785,270.6,0.834726487,0.707306122,0.764216965,49.9,0.993916667,0.983460884,0.988528666,48.2
False,False,True,1000,(1 3),True,False,0.001,95.1737287,0.905604236,0.89701658,0.893253314,0.971575546,0.952659589,0.96188982,274.7,0.848535636,0.893712637,0.86984463,98.8,0.90267439,0.916233766,0.909100379,154,0.753333333,0.691666667,0.661904762,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.782732256,0.753428571,0.766470791,49.9,0.987726949,0.970918367,0.978937496,48.2
False,False,True,1000,(1 3),False,True,0.001,94.66967508,0.880476076,0.859522645,0.863529777,0.97099733,0.945384207,0.957922446,274.7,0.830734913,0.885559678,0.856761745,98.8,0.877198957,0.911038961,0.893681171,154,0.585,0.433333333,0.462857143,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.998890256,0.9994441,270.6,0.791912561,0.725387755,0.755449112,49.9,0.989705674,0.977168367,0.983286986,48.2
